PERSON_ID,PLAYER_NAME,SEASON,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK,DRAFT_TYPE,TEAM_ID_x,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION_x,ORGANIZATION,ORGANIZATION_TYPE,PLAYER_PROFILE_FLAG,Draft Year,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID_y,TEAM_ABBREVIATION_y,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Unique_Teams_Played_For,Traded_Status,Custom_BPM
1631099,Keegan Murray,2022,1,4,4,Draft,1610612758,Sacramento,Kings,SAC,Iowa,College/University,1,2022,1631099,2022-23,0,1610612758,SAC,22.0,80,78.0,2382.0,354,782,0.453,206.0,501.0,0.411,62,81,0.765,89.0,282.0,371.0,98,61.0,42.0,60.0,162,976,1,Not Traded,16.114362500000002
1631095,Jabari Smith Jr.,2022,1,3,3,Draft,1610612745,Houston,Rockets,HOU,Auburn,College/University,1,2022,1631095,2024-25,0,1610612745,HOU,21.0,53,39.0,1600.0,226,522,0.433,90.0,255.0,0.353,101,123,0.821,95.0,253.0,348.0,55,23.0,41.0,54.0,114,643,1,Not Traded,17.45056603773585
1631095,Jabari Smith Jr.,2022,1,3,3,Draft,1610612745,Houston,Rockets,HOU,Auburn,College/University,1,2022,1631095,2023-24,0,1610612745,HOU,21.0,76,76.0,2424.0,378,833,0.454,138.0,380.0,0.363,150,185,0.811,139.0,477.0,616.0,121,52.0,61.0,89.0,200,1044,1,Not Traded,20.74946052631579
1631095,Jabari Smith Jr.,2022,1,3,3,Draft,1610612745,Houston,Rockets,HOU,Auburn,College/University,1,2022,1631095,2022-23,0,1610612745,HOU,20.0,79,79.0,2451.0,364,892,0.408,120.0,391.0,0.307,162,206,0.786,122.0,447.0,569.0,101,43.0,74.0,104.0,227,1010,1,Not Traded,18.603544303797467
1631096,Chet Holmgren,2022,1,2,2,Draft,1610612760,Oklahoma City,Thunder,OKC,Gonzaga,College/University,1,2022,1631096,2024-25,0,1610612760,OKC,22.0,26,26.0,707.0,138,280,0.493,33.0,93.0,0.355,77,107,0.72,42.0,177.0,219.0,48,20.0,60.0,47.0,54,386,1,Not Traded,23.87207692307692
1631096,Chet Holmgren,2022,1,2,2,Draft,1610612760,Oklahoma City,Thunder,OKC,Gonzaga,College/University,1,2022,1631096,2023-24,0,1610612760,OKC,22.0,82,82.0,2413.0,505,953,0.53,129.0,349.0,0.37,218,275,0.793,129.0,519.0,648.0,200,53.0,190.0,131.0,197,1357,1,Not Traded,25.086878048780484
1631094,Paolo Banchero,2022,1,1,1,Draft,1610612753,Orlando,Magic,ORL,Duke,College/University,1,2022,1631094,2024-25,0,1610612753,ORL,22.0,41,41.0,1407.0,366,802,0.456,79.0,243.0,0.325,249,348,0.716,45.0,252.0,297.0,193,34.0,26.0,116.0,88,1060,1,Not Traded,30.669951219512193
1631094,Paolo Banchero,2022,1,1,1,Draft,1610612753,Orlando,Magic,ORL,Duke,College/University,1,2022,1631094,2023-24,0,1610612753,ORL,21.0,80,80.0,2799.0,640,1407,0.455,119.0,351.0,0.339,405,559,0.725,82.0,472.0,554.0,431,71.0,47.0,247.0,153,1804,1,Not Traded,27.759112500000004
1631094,Paolo Banchero,2022,1,1,1,Draft,1610612753,Orlando,Magic,ORL,Duke,College/University,1,2022,1631094,2022-23,0,1610612753,ORL,20.0,72,72.0,2430.0,479,1122,0.427,85.0,285.0,0.298,394,534,0.738,84.0,413.0,497.0,269,60.0,39.0,200.0,160,1437,1,Not Traded,24.600180555555553
1630583,Santi Aldama,2021,1,30,30,Draft,1610612762,Utah,Jazz,UTA,Loyola-Maryland,College/University,1,2021,1630583,2024-25,0,1610612763,MEM,24.0,58,16.0,1460.0,284,587,0.484,104.0,284.0,0.366,58,84,0.69,88.0,291.0,379.0,168,44.0,29.0,59.0,62,730,1,Not Traded,19.367741379310345
